datetime,open,high,low,close,volume,openinterest,amount,ts_code,pre_close,change,pct_chg
2001-06-06,2.88,2.91,2.87,2.88,43113.66,0.0,68730.0042,000001.SZ,2.88,0.0,0.0
2001-06-07,2.88,2.9,2.86,2.87,52996.08,0.0,84033.966,000001.SZ,2.88,-0.009999999999999787,-0.35
2001-06-08,2.87,2.87,2.81,2.85,38217.87,0.0,60046.5733,000001.SZ,2.87,-0.020000000000000018,-0.7
2001-06-11,2.85,2.86,2.81,2.82,41376.87,0.0,64590.8352,000001.SZ,2.85,-0.03000000000000025,-1.05
2001-06-12,2.82,2.86,2.81,2.83,30371.91,0.0,47482.7498,000001.SZ,2.82,0.010000000000000231,0.35
2001-06-13,2.83,2.9,2.83,2.88,41233.11,0.0,65259.5563,000001.SZ,2.83,0.04999999999999982,1.77
2001-06-14,2.9,2.93,2.84,2.85,66614.86,0.0,106511.3812,000001.SZ,2.88,-0.029999999999999805,-1.04
2001-06-15,2.84,2.88,2.83,2.86,29632.82,0.0,46501.352,000001.SZ,2.85,0.009999999999999787,0.35
2001-06-18,2.86,2.86,2.77,2.8,41755.04,0.0,64927.816,000001.SZ,2.86,-0.06000000000000005,-2.1
2001-06-19,2.79,2.8,2.77,2.79,29865.51,0.0,45936.069,000001.SZ,2.8,-0.009999999999999787,-0.36
2001-06-20,2.8,2.82,2.75,2.77,49580.11,0.0,75939.7991,000001.SZ,2.79,-0.020000000000000018,-0.72
2001-06-21,2.77,2.79,2.75,2.78,44313.45,0.0,67836.0291,000001.SZ,2.77,0.009999999999999787,0.36
2001-06-22,2.78,2.83,2.75,2.82,33045.83,0.0,50776.0131,000001.SZ,2.78,0.040000000000000036,1.44
2001-06-25,2.82,2.86,2.82,2.84,29092.81,0.0,45637.4196,000001.SZ,2.82,0.020000000000000018,0.71
2001-06-26,2.84,2.84,2.81,2.81,33490.91,0.0,52098.285,000001.SZ,2.84,-0.029999999999999805,-1.06
2001-06-27,2.81,2.82,2.79,2.8,33555.02,0.0,51803.728,000001.SZ,2.81,-0.010000000000000231,-0.36
2001-06-28,2.8,2.82,2.77,2.77,34889.09,0.0,53645.6036,000001.SZ,2.8,-0.029999999999999805,-1.07
2001-07-02,2.78,2.82,2.77,2.78,22439.02,0.0,34537.0475,000001.SZ,2.77,0.009999999999999787,0.36
2001-07-03,2.78,2.79,2.77,2.78,16216.67,0.0,24899.2423,000001.SZ,2.78,0.0,0.0
2001-07-04,2.79,2.84,2.79,2.82,22095.06,0.0,34398.795,000001.SZ,2.78,0.040000000000000036,1.44
2001-07-05,2.83,2.91,2.83,2.83,80325.95,0.0,127473.5441,000001.SZ,2.82,0.010000000000000231,0.35
2001-07-06,2.84,2.86,2.8,2.81,24026.22,0.0,37503.268,000001.SZ,2.83,-0.020000000000000018,-0.71
2001-07-09,2.84,2.84,2.78,2.78,17663.84,0.0,27237.6637,000001.SZ,2.81,-0.03000000000000025,-1.07
2001-07-10,2.78,2.8,2.78,2.8,14205.85,0.0,21890.882,000001.SZ,2.78,0.020000000000000018,0.72
2001-07-11,2.8,2.8,2.76,2.76,41445.8,0.0,63359.4307,000001.SZ,2.8,-0.040000000000000036,-1.43
2001-07-12,2.76,2.77,2.72,2.75,45039.48,0.0,68186.6925,000001.SZ,2.76,-0.009999999999999787,-0.36
2001-07-13,2.75,2.77,2.73,2.73,25137.59,0.0,38049.2329,000001.SZ,2.75,-0.020000000000000018,-0.73
2001-07-16,2.75,2.78,2.7,2.71,28337.81,0.0,42683.0876,000001.SZ,2.73,-0.020000000000000018,-0.73
2001-07-17,2.71,2.71,2.65,2.68,33506.36,0.0,49315.9617,000001.SZ,2.71,-0.029999999999999805,-1.11
2001-07-18,2.69,2.9,2.69,2.74,22853.8,0.0,34621.7831,000001.SZ,2.68,0.06000000000000005,2.24
2001-07-19,2.74,2.75,2.69,2.74,20263.85,0.0,30429.4312,000001.SZ,2.74,0.0,0.0
2001-07-20,2.75,2.78,2.72,2.75,36420.97,0.0,55244.6414,000001.SZ,2.74,0.009999999999999787,0.36
2001-07-23,2.76,2.78,2.73,2.73,26996.06,0.0,40926.601,000001.SZ,2.75,-0.020000000000000018,-0.73
2001-07-24,2.73,2.73,2.7,2.71,31326.86,0.0,46923.2315,000001.SZ,2.73,-0.020000000000000018,-0.73
2001-07-25,2.71,2.72,2.67,2.68,32353.08,0.0,48066.6978,000001.SZ,2.71,-0.029999999999999805,-1.11
2001-07-26,2.68,2.69,2.64,2.67,29724.06,0.0,43631.4497,000001.SZ,2.68,-0.010000000000000231,-0.37
2001-07-27,2.69,2.72,2.65,2.71,32433.63,0.0,48053.4178,000001.SZ,2.67,0.040000000000000036,1.5
2001-07-30,2.7,2.7,2.46,2.53,75980.49,0.0,108007.0454,000001.SZ,2.71,-0.18000000000000016,-6.64
2001-07-31,2.5,2.57,2.49,2.5,40376.43,0.0,56392.9575,000001.SZ,2.53,-0.029999999999999805,-1.19
2001-08-01,2.51,2.57,2.51,2.57,36467.71,0.0,51147.6564,000001.SZ,2.5,0.06999999999999984,2.8
2001-08-02,2.57,2.57,2.49,2.52,29005.98,0.0,40401.7908,000001.SZ,2.57,-0.04999999999999982,-1.95
2001-08-03,2.52,2.53,2.47,2.5,37632.71,0.0,51911.3529,000001.SZ,2.52,-0.020000000000000018,-0.79
2001-08-06,2.49,2.49,2.28,2.36,76041.39,0.0,99291.0923,000001.SZ,2.5,-0.14000000000000012,-5.6
2001-08-07,2.35,2.39,2.31,2.38,35797.4,0.0,46623.8431,000001.SZ,2.36,0.020000000000000018,0.85
2001-08-08,2.39,2.39,2.34,2.35,27902.22,0.0,36322.3619,000001.SZ,2.38,-0.029999999999999805,-1.26
2001-08-09,2.35,2.39,2.35,2.37,26722.92,0.0,34910.8297,000001.SZ,2.35,0.020000000000000018,0.85
2001-08-10,2.46,2.46,2.41,2.43,24964.38,0.0,33496.5746,000001.SZ,2.37,0.06000000000000005,2.53
2001-08-13,2.44,2.47,2.42,2.44,22956.97,0.0,30971.9541,000001.SZ,2.43,0.009999999999999787,0.41
2001-08-14,2.43,2.46,2.39,2.41,20427.6,0.0,27399.7424,000001.SZ,2.44,-0.029999999999999805,-1.23
2001-08-15,2.42,2.43,2.4,2.41,12583.99,0.0,16792.3827,000001.SZ,2.41,0.0,0.0
2001-08-16,2.42,2.42,2.36,2.37,29097.41,0.0,38296.8897,000001.SZ,2.41,-0.040000000000000036,-1.66
2001-08-17,2.37,2.42,2.36,2.39,12351.54,0.0,16303.461,000001.SZ,2.37,0.020000000000000018,0.84
2001-08-20,2.39,2.4,2.37,2.39,13489.79,0.0,17742.7008,000001.SZ,2.39,0.0,0.0
2001-08-21,2.41,2.44,2.4,2.41,13534.36,0.0,18099.3644,000001.SZ,2.39,0.020000000000000018,0.84
2001-08-22,2.4,2.41,2.36,2.38,17110.01,0.0,22439.7369,000001.SZ,2.41,-0.03000000000000025,-1.24
2001-08-23,2.37,2.39,2.35,2.37,16623.73,0.0,21713.5367,000001.SZ,2.38,-0.009999999999999787,-0.42
2001-08-24,2.38,2.4,2.35,2.36,13335.28,0.0,17445.2836,000001.SZ,2.37,-0.010000000000000231,-0.42
2001-08-27,2.36,2.36,2.28,2.31,30753.52,0.0,39338.2565,000001.SZ,2.36,-0.04999999999999982,-2.12
2001-08-28,2.3,2.33,2.26,2.32,24978.11,0.0,31612.3743,000001.SZ,2.31,0.009999999999999787,0.43
2001-08-29,2.32,2.35,2.32,2.32,15802.32,0.0,20302.4828,000001.SZ,2.32,0.0,0.0
2001-08-30,2.32,2.32,2.3,2.3,9265.08,0.0,11784.0674,000001.SZ,2.32,-0.020000000000000018,-0.86
2001-08-31,2.3,2.32,2.3,2.3,9271.15,0.0,11782.3802,000001.SZ,2.3,0.0,0.0
2001-09-03,2.31,2.33,2.27,2.28,13092.4,0.0,16526.7048,000001.SZ,2.3,-0.020000000000000018,-0.87
2001-09-04,2.26,2.36,2.26,2.34,21234.07,0.0,27291.1654,000001.SZ,2.28,0.06000000000000005,2.63
2001-09-05,2.36,2.38,2.33,2.34,17692.98,0.0,23069.0747,000001.SZ,2.34,0.0,0.0
2001-09-06,2.34,2.36,2.33,2.35,13026.48,0.0,16884.1732,000001.SZ,2.34,0.010000000000000231,0.43
2001-09-07,2.35,2.35,2.28,2.3,23369.88,0.0,29751.5302,000001.SZ,2.35,-0.050000000000000266,-2.13
2001-09-10,2.27,2.36,2.26,2.35,20550.09,0.0,26472.5301,000001.SZ,2.3,0.050000000000000266,2.17
2001-09-11,2.37,2.37,2.32,2.33,15839.2,0.0,20482.3574,000001.SZ,2.35,-0.020000000000000018,-0.85
2001-09-12,2.24,2.3,2.19,2.29,47979.15,0.0,60072.5733,000001.SZ,2.33,-0.040000000000000036,-1.72
2001-09-13,2.3,2.32,2.28,2.28,11031.9,0.0,13954.5518,000001.SZ,2.29,-0.010000000000000231,-0.44
2001-09-14,2.28,2.3,2.24,2.24,22289.79,0.0,27721.2238,000001.SZ,2.28,-0.03999999999999959,-1.75
2001-09-17,2.24,2.24,2.17,2.17,50960.35,0.0,61735.5684,000001.SZ,2.24,-0.07000000000000028,-3.13
2001-09-18,2.18,2.23,2.17,2.19,22364.98,0.0,27098.452,000001.SZ,2.17,0.020000000000000018,0.92
